iter	Passed	Remaining
445	1174	1458
446	1176	1454
447	1177	1451
448	1179	1448
449	1182	1444
450	1186	1444
451	1188	1441
452	1190	1438
453	1192	1434
454	1195	1432
455	1198	1429
456	1201	1427
457	1203	1424
458	1205	1420
459	1206	1416
460	1208	1413
461	1210	1409
462	1215	1409
463	1217	1406
464	1219	1403
465	1221	1399
466	1224	1397
467	1227	1394
468	1229	1391
469	1231	1388
470	1233	1384
471	1234	1381
472	1237	1378
473	1239	1375
474	1242	1373
475	1245	1370
476	1247	1367
477	1249	1364
478	1251	1361
479	1253	1358
480	1255	1354
481	1258	1352
482	1260	1349
483	1262	1346
484	1265	1343
485	1267	1340
486	1269	1337
487	1273	1336
488	1275	1333
489	1278	1330
490	1280	1327
491	1281	1323
492	1283	1320
493	1287	1318
494	1289	1315
495	1291	1312
496	1293	1308
497	1295	1305
498	1297	1302
499	1300	1300
500	1302	1297
501	1304	1294
502	1306	1290
503	1308	1287
504	1309	1284
505	1311	1280
506	1313	1277
507	1319	1277
508	1322	1275
509	1324	1272
510	1329	1272
511	1333	1271
512	1336	1268
513	1338	1265
514	1340	1262
515	1342	1258
516	1344	1256
517	1348	1254
518	1350	1251
519	1353	1249
520	1354	1245
521	1356	1242
522	1359	1240
523	1365	1240
524	1367	1237
525	1369	1234
526	1371	1231
527	1375	1229
528	1378	1227
529	1379	1223
530	1381	1220
531	1383	1217
532	1385	1214
533	1389	1212
534	1391	1209
535	1393	1206
536	1395	1202
537	1396	1199
538	1398	1195
539	1400	1192
540	1403	1190
541	1406	1188
542	1408	1185
543	1411	1182
544	1413	1180
545	1415	1177
546	1420	1176
547	1422	1173
548	1424	1170
549	1426	1167
550	1428	1163
551	1430	1160
552	1434	1159
553	1436	1156
554	1438	1153
555	1439	1149
556	1441	1146
557	1443	1143
558	1445	1139
559	1448	1137
560	1450	1134
561	1451	1131
562	1453	1128
563	1456	1125
564	1458	1122
565	1460	1119
566	1463	1117
567	1465	1114
568	1467	1111
569	1469	1108
570	1471	1105
571	1473	1102
572	1475	1099
573	1479	1097
574	1481	1094
575	1483	1092
576	1485	1089
577	1487	1086
578	1490	1083
579	1493	1081
580	1495	1078
581	1497	1075
582	1499	1072
583	1501	1069
584	1503	1066
585	1505	1063
586	1507	1060
587	1509	1057
588	1511	1054
589	1513	1051
590	1515	1048
591	1517	1045
592	1519	1042
593	1521	1040
594	1523	1037
595	1525	1034
596	1527	1030
597	1529	1028
598	1532	1025
599	1535	1023
600	1537	1020
601	1539	1018
602	1542	1015
603	1545	1012
604	1547	1010
605	1550	1008
606	1552	1005
607	1554	1002
608	1556	999
609	1558	996
610	1560	993
611	1562	990
612	1565	988
613	1568	985
614	1570	982
615	1571	979
616	1573	976
617	1576	974
618	1580	972
619	1582	969
620	1584	966
621	1585	963
622	1587	960
623	1589	957
624	1590	954
625	1595	953
626	1597	950
627	1599	947
628	1601	944
629	1603	941
630	1606	939
631	1608	936
632	1610	933
633	1612	930
634	1614	927
635	1616	925
636	1618	922
637	1622	920
638	1625	918
639	1627	915
640	1629	912
641	1631	909
642	1633	906
643	1635	904
644	1638	901
645	1640	899
646	1642	896
647	1644	893
648	1646	890
649	1648	887
650	1652	885
651	1654	883
652	1656	880
653	1659	877
654	1660	874
655	1662	871
656	1666	870
657	1670	868
658	1672	865
659	1674	862
660	1678	860
661	1682	858
662	1684	856
663	1686	853
664	1689	851
665	1691	848
666	1698	847
667	1700	845
668	1703	842
669	1705	839
670	1709	838
671	1712	836
672	1714	833
673	1717	830
674	1719	828
675	1721	825
676	1725	823
677	1728	820
678	1730	817
679	1732	815
680	1734	812
681	1739	811
682	1742	808
683	1744	806
684	1747	803
685	1750	801
686	1755	799
687	1758	797
688	1761	795
689	1765	792
690	1768	790
691	1775	790
692	1777	787
693	1780	785
694	1783	782
695	1785	779
696	1787	777
697	1789	774
698	1792	771
699	1798	770
700	1802	768
701	1804	765
702	1806	763
703	1808	760
704	1816	759
705	1818	757
706	1820	754
707	1823	751
708	1827	749
709	1829	747
710	1831	744
711	1833	741
712	1835	738
713	1838	736
714	1840	733
715	1844	731
716	1848	729
717	1850	726
718	1852	724
719	1859	722
720	1861	720
721	1863	717
722	1865	714
723	1867	712
724	1871	709
725	1874	707
726	1876	704
727	1878	701
728	1880	699
729	1884	696
730	1888	694
731	1890	692
732	1892	689
733	1895	686
734	1899	684
735	1901	682
736	1903	679
737	1905	676
738	1907	673
739	1909	670
740	1910	667
741	1915	665
742	1917	663
743	1919	660
744	1921	657
745	1922	654
746	1924	651
747	1925	648
748	1928	646
749	1931	643
750	1933	641
751	1936	638
752	1938	635
753	1944	634
754	1946	631
755	1949	629
756	1951	626
757	1953	623
758	1957	621
759	1960	618
760	1963	616
761	1965	613
762	1967	611
763	1971	609
764	1974	606
765	1977	604
766	1979	601
767	1981	598
768	1983	595
769	1986	593
770	1988	590
771	1990	587
772	1993	585
773	1995	582
774	1997	579
775	2000	577
776	2003	574
777	2004	572
778	2006	569
779	2008	566
780	2010	563
781	2012	560
782	2014	558
783	2016	555
784	2018	552
785	2020	550
786	2022	547
787	2024	544
788	2025	541
789	2028	539
790	2031	536
791	2032	533
792	2034	531
793	2036	528
794	2037	525
795	2039	522
796	2041	519
797	2044	517
798	2046	514
799	2048	512
800	2050	509
801	2052	506
802	2053	503
803	2056	501
804	2060	499
805	2062	496
806	2064	493
807	2066	491
808	2068	488
809	2071	485
810	2073	483
811	2075	480
812	2077	477
813	2079	475
814	2081	472
815	2083	469
816	2085	467
817	2089	464
818	2091	462
819	2094	459
820	2097	457
821	2099	454
822	2103	452
823	2110	450
824	2112	448
825	2115	445
826	2121	443
827	2123	441
828	2126	438
829	2129	436
830	2133	433
831	2136	431
832	2137	428
833	2140	425
834	2142	423
835	2146	421
836	2148	418
837	2150	415
838	2152	413
839	2155	410
840	2163	409
841	2168	406
842	2170	404
843	2174	402
844	2178	399
845	2180	396
846	2182	394
847	2184	391
848	2187	389
849	2190	386
850	2193	384
851	2196	381
852	2199	379
853	2202	376
854	2205	374
855	2208	371
856	2210	368
857	2212	366
858	2214	363
859	2217	361
860	2220	358
861	2222	355
862	2223	353
863	2225	350
864	2227	347
865	2229	344
866	2231	342
867	2233	339
868	2236	337
869	2238	334
870	2240	331
871	2242	329
872	2244	326
873	2248	324
874	2251	321
875	2253	318
876	2255	316
877	2257	313
878	2259	311
879	2262	308
880	2265	306
881	2267	303
882	2269	300
883	2271	298
884	2274	295
885	2276	292
886	2278	290
887	2280	287
888	2283	285
889	2285	282
890	2287	279
891	2289	277
892	2293	274
893	2295	272
894	2297	269
895	2299	266
896	2301	264
897	2302	261
898	2304	258
899	2306	256
900	2308	253
901	2310	251
902	2312	248
903	2314	245
904	2316	243
905	2319	240
906	2321	238
907	2323	235
908	2325	232
909	2326	230
910	2328	227
911	2330	224
912	2334	222
913	2337	219
914	2341	217
915	2343	214
916	2345	212
917	2348	209
918	2351	207
919	2353	204
920	2355	202
921	2357	199
922	2359	196
923	2362	194
924	2366	191
925	2368	189
926	2370	186
927	2373	184
928	2375	181
929	2378	179
930	2381	176
931	2384	173
932	2385	171
933	2387	168
934	2389	166
935	2392	163
936	2394	161
937	2397	158
938	2401	155
939	2402	153
940	2406	150
941	2408	148
942	2410	145
943	2412	143
944	2413	140
945	2415	137
946	2418	135
947	2421	132
948	2422	130
949	2425	127
950	2427	125
951	2429	122
952	2431	119
953	2434	117
954	2437	114
955	2439	112
956	2441	109
957	2443	107
958	2445	104
959	2449	102
960	2452	99
961	2455	96
962	2457	94
963	2459	91
964	2461	89
965	2466	86
966	2468	84
967	2470	81
968	2473	79
969	2475	76
970	2480	74
971	2483	71
972	2485	68
973	2487	66
974	2489	63
975	2493	61
976	2496	58
977	2498	56
978	2500	53
979	2502	51
980	2505	48
981	2508	45
982	2512	43
983	2514	40
984	2516	38
985	2519	35
986	2522	33
987	2525	30
988	2527	28
989	2530	25
990	2536	23
991	2538	20
992	2540	17
993	2544	15
994	2545	12
995	2548	10
996	2552	7
997	2553	5
998	2556	2
999	2558	0
