iter	RMSE
149	4.988751641
150	4.980100224
151	4.97563858
152	4.970955445
153	4.96877221
154	4.965205697
155	4.961540409
156	4.955163337
157	4.94570875
158	4.941242255
159	4.934624789
160	4.926232449
161	4.920210437
162	4.916590065
163	4.913801411
164	4.912881875
165	4.906922163
166	4.901158859
167	4.896744501
168	4.886775577
169	4.881649467
170	4.876002638
171	4.872572642
172	4.869083853
173	4.86566673
174	4.859496164
175	4.85354678
176	4.850159256
177	4.845359353
178	4.838476563
179	4.832876951
180	4.82614298
181	4.820305654
182	4.814779104
183	4.810442835
184	4.80534398
185	4.802916538
186	4.799657277
187	4.796845701
188	4.792849152
189	4.789750972
190	4.785132959
191	4.780735754
192	4.77736104
193	4.771918998
194	4.768891942
195	4.762265924
196	4.758506264
197	4.753735977
198	4.749160308
199	4.745921841
200	4.742474226
201	4.737896609
202	4.735775195
203	4.732483329
204	4.727454906
205	4.725466011
206	4.721182994
207	4.717289247
208	4.712722008
209	4.709183648
210	4.704877069
211	4.702367828
212	4.699107247
213	4.693561987
214	4.68935456
215	4.686723425
216	4.68413958
217	4.676928631
218	4.674901345
219	4.674786808
220	4.672632281
221	4.667914517
222	4.665067857
223	4.659829091
224	4.658397547
225	4.654116224
226	4.652796548
227	4.648325779
228	4.644508549
229	4.642702436
230	4.640503233
231	4.637951327
232	4.634741356
233	4.631135197
234	4.627632527
235	4.624285088
236	4.62223553
237	4.619187023
238	4.616751986
239	4.613354045
240	4.608181305
241	4.605710138
242	4.600886481
243	4.594641103
244	4.592073372
245	4.587622214
246	4.581072874
247	4.579170172
248	4.574494553
249	4.572876769
250	4.571319545
251	4.567946362
252	4.562151243
253	4.558222864
254	4.553003577
255	4.54582191
256	4.542620116
257	4.537751296
258	4.533197402
259	4.529298951
260	4.523429493
261	4.51588352
262	4.512446458
263	4.509913044
264	4.509290487
265	4.506425221
266	4.504194199
267	4.499451916
268	4.495145371
269	4.491179843
270	4.488499339
271	4.481843187
272	4.478400455
273	4.473912006
274	4.47109142
275	4.469527602
276	4.468359482
277	4.462483435
278	4.458315933
279	4.450897973
280	4.449514224
281	4.448156577
282	4.443629802
283	4.439290684
284	4.432525667
285	4.428501951
286	4.427223145
287	4.422752856
288	4.418446945
289	4.412461542
290	4.411885851
291	4.408183919
292	4.404593345
293	4.400521581
294	4.398368727
295	4.393776093
296	4.392051185
297	4.386992548
298	4.384261803
299	4.378251593
300	4.372773679
301	4.368544533
302	4.36663233
303	4.362484802
304	4.357636932
305	4.352628788
306	4.351387229
307	4.350028626
308	4.347555924
309	4.346321354
310	4.343467782
311	4.336470751
312	4.33271742
313	4.330895632
314	4.325227506
315	4.32354008
316	4.322494601
317	4.316962161
318	4.310391698
319	4.308743984
320	4.303707205
321	4.298660838
322	4.293409373
323	4.288005658
324	4.285570154
325	4.281443801
326	4.275337479
327	4.270322377
328	4.267464431
329	4.264129744
330	4.257337571
331	4.252985428
332	4.24867109
333	4.245072911
334	4.241721761
335	4.239150196
336	4.232912593
337	4.227524931
338	4.224106895
339	4.222972806
340	4.219868228
341	4.216339041
342	4.211522189
343	4.209713946
344	4.203337341
345	4.200670141
346	4.199579705
347	4.198120683
348	4.196635913
349	4.193198724
350	4.19095711
351	4.187843386
352	4.186001774
353	4.185553901
354	4.178443794
355	4.176106772
356	4.172043575
357	4.170952474
358	4.169742898
359	4.168744171
360	4.167470864
361	4.163842419
362	4.158899122
363	4.154542828
364	4.152523436
365	4.149098237
366	4.144820584
367	4.143509785
368	4.139329842
369	4.136729843
370	4.134768995
371	4.130097026
372	4.125804405
373	4.123486158
374	4.123092669
375	4.118331204
376	4.116739508
377	4.110117706
378	4.107240078
379	4.103118643
380	4.100944784
381	4.095239308
382	4.091094444
383	4.09069318
384	4.086171534
385	4.080676413
386	4.077600931
387	4.074171814
388	4.07104865
389	4.067964562
390	4.06657431
391	4.064510594
392	4.061403697
393	4.057999007
394	4.05435255
395	4.050346079
396	4.048195139
397	4.047339915
398	4.046117153
399	4.044082499
400	4.040085783
401	4.035603579
402	4.033389905
403	4.02838902
404	4.024045701
405	4.021818703
406	4.020941564
407	4.020524421
408	4.016560404
409	4.011263121
410	4.006405765
411	4.003308679
412	3.997422915
413	3.996282533
414	3.995832771
415	3.992580498
416	3.989211005
417	3.984560436
418	3.981923821
419	3.975978124
420	3.972435524
421	3.968731532
422	3.964785042
423	3.963946867
424	3.961006418
425	3.958021895
426	3.954666673
427	3.951160022
428	3.948296336
429	3.943689318
430	3.939480848
431	3.935496522
432	3.93428679
433	3.932642219
434	3.928520857
435	3.924393473
436	3.922153162
437	3.918902324
438	3.916868212
439	3.913769316
440	3.910841129
441	3.907932794
442	3.906792164
443	3.902760309
444	3.900074683
445	3.897360672
446	3.895132672
447	3.8943797
448	3.891180675
449	3.888493226
450	3.884108236
451	3.882301379
452	3.878604771
453	3.877854852
454	3.876482615
455	3.874756132
456	3.872916046
457	3.870922691
458	3.867449915
459	3.86266408
460	3.860112553
461	3.858217574
462	3.855571775
463	3.851481883
464	3.850490173
465	3.848922035
466	3.846298177
467	3.842779369
468	3.842416395
469	3.840007061
470	3.837275127
471	3.832735223
472	3.830214029
473	3.825872222
474	3.820495691
475	3.815752038
476	3.809752092
477	3.804809277
478	3.800987855
479	3.796859802
480	3.79177384
481	3.789959674
482	3.786014664
483	3.783427918
484	3.781557457
485	3.778591798
486	3.775946504
487	3.773750174
488	3.769787456
489	3.765601563
490	3.762119265
491	3.759871903
492	3.757200301
493	3.754004769
494	3.750274392
495	3.748283673
496	3.747303299
497	3.743385798
498	3.738667861
499	3.736052792
500	3.732337554
501	3.728497897
502	3.725046583
503	3.720858579
504	3.71861398
505	3.717786929
506	3.712076751
507	3.70841879
508	3.706443269
509	3.705149406
510	3.701962909
511	3.699437786
512	3.697641333
513	3.696706721
514	3.692043574
515	3.690255447
516	3.688992079
517	3.688440885
518	3.68530301
519	3.683048552
520	3.681630427
521	3.679283144
522	3.677527767
523	3.672847246
524	3.670319113
525	3.669043313
526	3.666174014
527	3.66321757
528	3.658863284
529	3.655865546
530	3.653510604
531	3.651924782
532	3.647704265
533	3.644349135
534	3.640251843
535	3.63719105
536	3.636875311
537	3.63346962
538	3.63167339
539	3.628250366
540	3.627222448
541	3.623405579
542	3.622016078
543	3.618093621
544	3.617790902
545	3.61447125
546	3.611557052
547	3.609816268
548	3.605746685
549	3.605167658
550	3.601956246
551	3.596699047
552	3.593650033
553	3.591023267
554	3.589193121
555	3.588646369
556	3.588081703
557	3.585725853
558	3.582699055
559	3.582202344
560	3.580547934
561	3.57811027
562	3.57563434
563	3.573185218
564	3.572413545
565	3.569715127
566	3.566081756
567	3.562912598
568	3.558103028
569	3.556554335
570	3.553799754
571	3.553349053
572	3.551948549
573	3.551558252
574	3.55002884
575	3.546289764
576	3.544729803
577	3.540829917
578	3.53703561
579	3.535531031
580	3.533395604
581	3.530443969
582	3.527521748
583	3.525025234
584	3.523589663
585	3.521625197
586	3.51907393
587	3.513868102
588	3.513260175
589	3.510225705
590	3.508886444
591	3.506413796
592	3.503629257
593	3.500008183
594	3.498578543
595	3.497204777
596	3.496137696
597	3.495694444
598	3.494542551
599	3.493404109
600	3.492961983
601	3.48930193
602	3.485660523
603	3.483216743
604	3.480257171
605	3.477388416
606	3.473769115
607	3.472431615
608	3.47105381
609	3.468250685
610	3.463873188
611	3.462413239
612	3.461362864
613	3.460097738
614	3.459318446
615	3.458713696
616	3.455046451
617	3.454314457
618	3.451870793
619	3.448858457
620	3.446381054
621	3.44494699
622	3.441504437
623	3.438153471
624	3.435249602
625	3.433855652
626	3.431275307
627	3.430341076
628	3.426838312
629	3.426320579
630	3.423699894
631	3.420891116
632	3.418367333
633	3.415978954
634	3.413307679
635	3.412330655
636	3.409750884
637	3.406939983
638	3.403309536
639	3.40305434
640	3.402417917
641	3.400688693
642	3.398555545
643	3.396675415
644	3.394392881
645	3.390590017
646	3.388070114
647	3.386989127
648	3.384172721
649	3.382644253
650	3.381706503
651	3.379633877
652	3.376259301
653	3.373029018
654	3.37158455
655	3.370414048
656	3.369075158
657	3.365897581
658	3.363583477
659	3.362429681
660	3.360045569
661	3.359335088
662	3.356158162
663	3.353785908
664	3.351561547
665	3.350265354
666	3.349151381
667	3.34705424
668	3.342412619
669	3.340136468
670	3.3399088
671	3.337925634
672	3.334877284
673	3.332692621
674	3.332468012
675	3.330254371
676	3.329919035
677	3.328554392
678	3.327327858
679	3.325765641
680	3.32340343
681	3.319788847
682	3.316102622
683	3.313947505
684	3.311315775
685	3.309574147
686	3.308389884
687	3.306861566
688	3.304053901
689	3.300816748
690	3.299427899
691	3.298486992
692	3.296789633
693	3.293270584
694	3.292427061
695	3.289964728
696	3.286186307
697	3.285067099
698	3.28232101
699	3.281797837
700	3.278022024
701	3.275329696
702	3.273842927
703	3.270586274
704	3.269089031
705	3.26580393
706	3.262856642
707	3.259839552
708	3.258986893
709	3.256263301
710	3.254141657
711	3.251708663
712	3.250115351
713	3.247897178
714	3.247683116
715	3.246833938
716	3.244622893
717	3.243708248
718	3.242618045
719	3.241614696
720	3.240052699
721	3.239763697
722	3.23884301
723	3.235783685
724	3.233709179
725	3.23115912
726	3.230243438
727	3.227697352
728	3.225423601
729	3.224472049
730	3.222169041
731	3.220497431
732	3.22029757
733	3.21898131
734	3.216439127
735	3.213852388
736	3.211710325
737	3.211452174
738	3.209704305
739	3.207698464
740	3.20520306
741	3.203796551
742	3.203226106
743	3.202709886
744	3.202528961
745	3.200468882
746	3.199739225
747	3.197559999
748	3.195543329
749	3.194375667
750	3.194207502
751	3.191556002
752	3.188259366
753	3.185843366
754	3.182711181
755	3.180397195
756	3.179618996
757	3.178938291
758	3.176971803
759	3.1756624
760	3.174491358
761	3.170253682
762	3.169505452
763	3.167495854
764	3.166726647
765	3.164141115
766	3.162675799
767	3.161764432
768	3.160545113
769	3.158168827
770	3.156321451
771	3.154143617
772	3.153481106
773	3.151439578
774	3.149167975
775	3.144124738
776	3.143763111
777	3.140647163
778	3.140500334
779	3.139160854
780	3.137166601
781	3.135960838
782	3.133929208
783	3.132122359
784	3.130040799
785	3.128742347
786	3.128294348
787	3.127820314
788	3.126530006
789	3.126166638
790	3.12369203
791	3.120868435
792	3.119228624
793	3.115569982
794	3.114211123
795	3.112049932
796	3.110149825
797	3.107978771
798	3.107656021
799	3.104733794
800	3.102546776
801	3.100717395
802	3.098694502
803	3.095503677
804	3.094608115
805	3.093428111
806	3.091505085
807	3.088909612
808	3.087671809
809	3.085556539
810	3.085490351
811	3.084362486
812	3.082803615
813	3.079777807
814	3.079267457
815	3.076079676
816	3.075181068
817	3.072483055
818	3.071579096
819	3.069521897
820	3.06823493
821	3.067566133
822	3.065036827
823	3.064089905
824	3.063343524
825	3.062370212
826	3.061934732
827	3.059696302
828	3.058273044
829	3.056536799
830	3.05484654
831	3.052650678
832	3.051998246
833	3.049397407
834	3.046661714
835	3.043694933
836	3.042864469
837	3.040863677
838	3.037929034
839	3.037234875
840	3.035104259
841	3.03145014
842	3.029692114
843	3.028629971
844	3.027871886
845	3.027300074
846	3.026262433
847	3.025119758
848	3.024488768
849	3.022471398
850	3.021545043
851	3.018263989
852	3.01537372
853	3.013581089
854	3.01098061
855	3.008211767
856	3.008084063
857	3.006744433
858	3.004912399
859	3.004313244
860	3.002609506
861	2.999486796
862	2.997808969
863	2.996514477
864	2.994130564
865	2.994002533
866	2.991451213
867	2.990304081
868	2.989108733
869	2.988128249
870	2.98596421
871	2.984806711
872	2.983936429
873	2.98369292
874	2.982634394
875	2.982142933
876	2.979932057
877	2.976674021
878	2.97487112
879	2.973489961
880	2.972668578
881	2.970615046
882	2.969060126
883	2.968312906
884	2.966540836
885	2.965081577
886	2.962498144
887	2.959769531
888	2.957021551
889	2.95601241
890	2.953468411
891	2.952002736
892	2.949362426
893	2.947723015
894	2.944664217
895	2.942766366
896	2.942119372
897	2.939983589
898	2.939266368
899	2.936601477
900	2.935666347
901	2.933662846
902	2.931422316
903	2.929434766
904	2.928466077
905	2.927833287
906	2.927348518
907	2.926280713
908	2.924769103
909	2.923301387
910	2.92184286
911	2.921394586
912	2.919889039
913	2.918586907
914	2.917570103
915	2.917268252
916	2.915527361
917	2.913367669
918	2.912109256
919	2.910524234
920	2.909130466
921	2.908195072
922	2.907611809
923	2.906617285
924	2.903949484
925	2.903474438
926	2.900736082
927	2.899874629
928	2.898691048
929	2.896677747
930	2.896299734
931	2.893449098
932	2.891313121
933	2.890351201
934	2.887533948
935	2.887090198
936	2.886647933
937	2.885588862
938	2.883918692
939	2.882905245
940	2.881087068
941	2.879003335
942	2.876875923
943	2.874698436
944	2.873589467
945	2.872786154
946	2.872176222
947	2.870196552
948	2.86935336
949	2.868830366
950	2.867314122
951	2.865345784
952	2.862728556
953	2.861960263
954	2.860861969
955	2.859646035
956	2.857733397
957	2.856386599
958	2.85545713
959	2.853633894
960	2.853032771
961	2.851767807
962	2.849881475
963	2.847908089
964	2.847792036
965	2.846081788
966	2.845007741
967	2.843231326
968	2.841055017
969	2.838911927
970	2.836368613
971	2.836025413
972	2.834483495
973	2.833015088
974	2.832697306
975	2.831221677
976	2.829237605
977	2.827988714
978	2.826124307
979	2.824751785
980	2.822203999
981	2.819599916
982	2.818026716
983	2.817395599
984	2.81643407
985	2.815178915
986	2.813416056
987	2.812918522
988	2.809353058
989	2.80924445
990	2.807243228
991	2.806293675
992	2.804806934
993	2.80435347
994	2.803783529
995	2.802543085
996	2.799506391
997	2.797513325
998	2.797204078
999	2.794301853
